molIdx	molSmiles	molregno	validMol	scafSmiles	inDB	scafID	pScore	inDrug	substancesTested	substancesActive	assaysTested	assaysActive	samplesTested	samplesActive
203	O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1	228463	True	O=C(C=CC(=O)Nc1cc2cncnc2cn1)NCCCN1CCOCC1	False									
203	O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1	228463	True	c1ccc(Nc2ncnc3cnccc23)cc1	False									
203	O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1	228463	True	C1COCCN1	True	289	214.0	True	23086	16454	820	762	11350060	65096
203	O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1	228463	True	c1cc2cncnc2cn1	False									
204	CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	228523	True	c1ccc(Nc2ncnc3cnccc23)cc1	False									
204	CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	228523	True	c1cc2cncnc2cn1	False									
205	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1	228550	True	O=C(C=CC(=O)Nc1cc2c(Nc3ccccc3)ncnc2cn1)NCCCN1CCOCC1	False									
205	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1	228550	True	O=C(C=CC(=O)Nc1cc2cncnc2cn1)NCCCN1CCOCC1	False									
205	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1	228550	True	c1ccc(Nc2ncnc3cnccc23)cc1	False									
205	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1	228550	True	C1COCCN1	True	289	214.0	True	23086	16454	820	762	11350060	65096
205	O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1	228550	True	c1cc2cncnc2cn1	False									
206	CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	228551	True	c1ccc(Nc2ncnc3cnccc23)cc1	False									
206	CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	228551	True	c1cc2cncnc2cn1	False									
207	CCCCCCCC/C=C\CCCCCCCC/C=C1\C[C@@](CO)(COC(C)=O)OC1=O	231404	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
208	CCCCCCCC/C=C\CCCCCCC/C=C1\C[C@](/C=C2\CCOC2=O)(CO)OC1=O	231405	True	C=C1CC(C=C2CCOC2=O)OC1=O	False									
208	CCCCCCCC/C=C\CCCCCCC/C=C1\C[C@](/C=C2\CCOC2=O)(CO)OC1=O	231405	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
209	CCCCCCCC/C=C\CCCCCCCC/C=C1/C[C@@](CO)(COC(C)=O)OC1=O	231510	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
210	CCCCCCCC/C=C\CCCCCCCC/C=C1/C[C@](/C=C/C(=O)OC)(CO)OC1=O	231055	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
211	CCCCCCCC/C=C\CCCCCCCC/C=C1\C[C@](/C=C/C(=O)OC)(CO)OC1=O	231967	True	C=C1CCOC1=O	True	3461	30.0	True	38	24	793	75	13933	139
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1	True	2925		False	0	0	0	0	0	0
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	O=C(Nc1cccc2ccccc12)Nc1ccnn1-c1ccccc1	True	2929		False	0	0	0	0	0	0
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	O=C(Nc1ccn[nH]1)Nc1ccc(OCCN2CCOCC2)c2ccccc12	True	2926		False	0	0	0	0	0	0
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	c1ccc(-n2cccn2)cc1	True	125	322.0	True	3079	2524	820	664	1631395	14041
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	O=C(Nc1ccn[nH]1)Nc1cccc2ccccc12	True	2928		False	0	0	0	0	0	0
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	c1ccc2c(OCCN3CCOCC3)cccc2c1	True	2927		False	0	0	0	0	0	0
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	c1cn[nH]c1	True	124	292.0	True	12410	9920	820	747	6654437	47280
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	c1ccc2ccccc2c1	True	30	428.0	True	5975	4729	820	716	2652294	29122
212	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2cccc(N)c2)n1	236518	True	C1COCCN1	True	289	214.0	True	23086	16454	820	762	11350060	65096
213	COc1ccc(Cl)c(Nc2ncnc3cc(OCN4CCN(C)CC4)c(OC)cc23)c1	283868	True	c1ccc(Nc2ncnc3cc(OCN4CCNCC4)ccc23)cc1	False									
213	COc1ccc(Cl)c(Nc2ncnc3cc(OCN4CCN(C)CC4)c(OC)cc23)c1	283868	True	c1ncc2ccc(OCN3CCNCC3)cc2n1	False									
213	COc1ccc(Cl)c(Nc2ncnc3cc(OCN4CCN(C)CC4)c(OC)cc23)c1	283868	True	c1ccc(Nc2ncnc3ccccc23)cc1	True	109	248.0	True	151	142	820	282	82085	1142
213	COc1ccc(Cl)c(Nc2ncnc3cc(OCN4CCN(C)CC4)c(OC)cc23)c1	283868	True	C1CNCCN1	True	144	267.0	True	32722	24536	820	767	15744160	106367
213	COc1ccc(Cl)c(Nc2ncnc3cc(OCN4CCN(C)CC4)c(OC)cc23)c1	283868	True	c1ccc2ncncc2c1	True	110	494.0	True	1599	1408	820	622	832663	10950
214	NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1	250364	True	O=C1NC=NC1=C1CCNC(=O)c2[nH]ccc21	False									
214	NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1	250364	True	C=C1CCNC(=O)c2[nH]ccc21	False									
214	NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1	250364	True	C=C1N=CNC1=O	True	32913	78.0	False	86	82	717	159	52558	380
215	COCCOc1cc2nncc(Nc3ccc(Cl)cc3F)c2cc1OC	250854	True	c1ccc(Nc2cnnc3ccccc23)cc1	False									
215	COCCOc1cc2nncc(Nc3ccc(Cl)cc3F)c2cc1OC	250854	True	c1ccc2nnccc2c1	True	1245	90.0	False	25	21	769	114	10109	155
216	CCCCCCCCCCCC[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C	264454	True	O=C1CNc2ccccc2CCN1	False									
217	CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	273217	True	c1ccc(Nc2ncnc3cnccc23)cc1	False									
217	CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	273217	True	c1cc2cncnc2cn1	False									
218	COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1	248691	True	O=C(CN1CCNCC1)Nc1cccc2c1C(=O)c1c-2n[nH]c1-c1ccccc1	False									
218	COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1	248691	True	O=C(CN1CCNCC1)Nc1cccc2c1C(=O)c1c[nH]nc1-2	False									
218	COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1	248691	True	O=C1c2ccccc2-c2n[nH]c(-c3ccccc3)c21	False									
218	COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1	248691	True	O=C1c2ccccc2-c2n[nH]cc21	False									
218	COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1	248691	True	C1CNCCN1	True	144	267.0	True	32722	24536	820	767	15744160	106367
219	NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2	248805	True	O=C1c2ccccc2-c2[nH]nc(-c3ccsc3)c21	False									
219	NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2	248805	True	O=C1c2ccccc2-c2[nH]ncc21	False									
219	NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2	248805	True	c1ccsc1	True	361	382.0	True	21080	16949	820	769	10914208	98123
220	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1	262421	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
220	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1	262421	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
220	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1	262421	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
220	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1	262421	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
221	O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1	262422	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
221	O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1	262422	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
221	O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1	262422	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
221	O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1	262422	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
222	COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O	262665	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
222	COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O	262665	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
222	COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O	262665	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
222	COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O	262665	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
223	COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O	262695	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
223	COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O	262695	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
223	COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O	262695	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
223	COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O	262695	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
224	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1	262821	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
224	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1	262821	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
224	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1	262821	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
224	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1	262821	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
