molregno	canonical_smiles
172807	COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(=O)(=O)N(C)C)cc31)cn2C
172835	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1cn(C)c3ccc(OC)cc13)C(=O)N2
173334	NS(=O)(=O)c1ccc2c(c1)/C(=C/c1c[nH]c3ccccc13)C(=O)N2
193730	CCCCCCCC/C=C\CCCCCCC/C=C1/C[C@@](CO)(COC(C)=O)OC1=O
181684	O=C1OC(CO)(COC(=O)c2ccc(-c3ccccc3)cc2)C/C1=C/c1ccc(-c2ccccc2)cc1
181727	CCCCCCCCC/C=C1/CC(CO)(COC(=O)c2ccccc2)OC1=O
181760	CCCCCCCCC/C=C1/CC(CO)(COC(=O)c2ccc(-c3ccccc3)cc2)OC1=O
195134	COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
195355	CN(C)CCCOc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1
195653	O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
190814	O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1
193843	CCCCCCCC/C=C\CCCCCCC/C=C1\C[C@@](CO)(COC(C)=O)OC1=O
194549	CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
198656	COc1ccc(C#CC(C)(C)N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
194553	O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1
194554	NC1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1
194563	O=S(=O)(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
194654	COCCN(CCOc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1)Cc1ccccc1
225425	Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
205165	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
214952	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc21
214994	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2cccnc21
220898	O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12
221482	CC(C)[C@H]1C(=O)N[C@H](CO)Cc2cc(NC(=O)CCCCCCCCCCCCC(=O)Nc3ccc4c(c3)N(C)[C@@H](C(C)C)C(=O)N[C@H](CO)C4)ccc2N1C
221993	COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1
210569	OCCN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1
210689	Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1
